plot,h_mean,h_max,h_min,h_med,geometry
101,91.60000000000001,104.60000000000001,81.69999999999999,92.15,"list(c(385615.8, 385615.528658103, 385615.528658154, 385615.528658222, 385615.528658289, 385615.528658302, 385615.8, 385616.4, 385616.590357996, 385616.590357984, 385616.590357915, 385616.590357846, 385616.590357794, 385616.4, 385615.8, 3638118.7455169, 3638118.74551693, 3638119.2, 3638119.8, 3638120.4, 3638120.51042075, 3638120.51042072, 3638120.51042066, 3638120.51042064, 3638120.4, 3638119.8, 3638119.2, 3638118.74551682, 3638118.74551684, 3638118.7455169))"
102,99.32222222222222,108.5,90.60000000000001,100.29999999999998,"list(c(385622.850249546, 385622.85024961, 385622.850249678, 385622.850249729, 385623, 385623.6, 385623.843007884, 385623.843007832, 385623.843007765, 385623.843007702, 385623.6, 385623, 385622.850249546, 3638119.24189534, 3638119.8, 3638120.4, 3638120.85512774, 3638120.85512772, 3638120.85512766, 3638120.85512763, 3638120.4, 3638119.8, 3638119.24189523, 3638119.24189526, 3638119.24189533, 3638119.24189534))"
103,66.47500000000001,74.4,62.2,66.2,"list(c(385630.213205853, 385630.213205921, 385630.213205989, 385630.213206012, 385630.8, 385631.192175858, 385631.192175835, 385631.192175766, 385631.192175698, 385631.192175643, 385630.8, 385630.213205799, 385630.213205853, 3638119.2, 3638119.8, 3638120.4, 3638120.60693734, 3638120.60693728, 3638120.60693724, 3638120.4, 3638119.8, 3638119.2, 3638118.71793862, 3638118.71793866, 3638118.71793872, 3638119.2))"
104,77.17500000000001,81.2,73.9,76.8,"list(c(385637.534797444, 385637.534797512, 385637.53479758, 385637.534797633, 385638, 385638.499979173, 385638.499979121, 385638.499979052, 385638.499978984, 385638.499978963, 385638, 385637.534797423, 385637.534797444, 3638121, 3638121.6, 3638122.2, 3638122.66139491, 3638122.66139486, 3638122.6613948, 3638122.2, 3638121.6, 3638121, 3638120.81376112, 3638120.81376117, 3638120.81376122, 3638121))"
105,85.75555555555555,94.1,74.1,86.1,"list(c(385645.780539404, 385645.780539461, 385645.78053953, 385645.780539582, 385645.8, 385646.4, 385646.654245837, 385646.654245786, 385646.654245718, 385646.654245662, 385646.4, 385645.8, 385645.780539404, 3638121.10522679, 3638121.6, 3638122.2, 3638122.65320673, 3638122.65320673, 3638122.65320666, 3638122.65320664, 3638122.2, 3638121.6, 3638121.10522669, 3638121.10522672, 3638121.10522678, 3638121.10522679))"
106,83.92666666666668,91.2,74.4,84.1,"list(c(385652.4, 385652.152272947, 385652.15227297, 385652.152273038, 385652.152273107, 385652.152273175, 385652.152273175, 385652.4, 385653, 385653.117013935, 385653.117013935, 385653.117013866, 385653.117013798, 385653.11701373, 385653.117013706, 385653, 385652.4, 3638118.3928147, 3638118.39281472, 3638118.6, 3638119.2, 3638119.8, 3638120.4, 3638120.40465266, 3638120.40465263, 3638120.40465257, 3638120.40465255, 3638120.4, 3638119.8, 3638119.2, 3638118.6, 3638118.39281462, 3638118.39281463, 3638118.3928147
))"
107,91.50833333333334,105,84.2,90.8,"list(c(385659.6, 385659.340768263, 385659.340768281, 385659.34076835, 385659.340768419, 385659.340768457, 385659.6, 385660.2, 385660.387865135, 385660.387865097, 385660.387865029, 385660.38786496, 385660.387864942, 385660.2, 385659.6, 3638119.63991814, 3638119.63991817, 3638119.8, 3638120.4, 3638121, 3638121.33409748, 3638121.33409745, 3638121.33409738, 3638121.33409736, 3638121, 3638120.4, 3638119.8, 3638119.63991805, 3638119.63991807, 3638119.63991814))"
201,92.8,102.1,73.4,94.9,"list(c(385615.8, 385615.546728599, 385615.54672862, 385615.546728688, 385615.546728757, 385615.546728798, 385615.8, 385616.4, 385616.57537243, 385616.575372389, 385616.57537232, 385616.575372252, 385616.575372231, 385616.4, 385615.8, 3638132.21086203, 3638132.21086206, 3638132.4, 3638133, 3638133.6, 3638133.96408528, 3638133.96408526, 3638133.96408519, 3638133.96408517, 3638133.6, 3638133, 3638132.4, 3638132.21086195, 3638132.21086197, 3638132.21086203))"
202,103.03333333333333,110.5,94.39999999999999,102.74999999999999,"list(c(385623, 385622.928378754, 385622.928378759, 385622.928378827, 385622.928378896, 385622.928378955, 385623, 385623.6, 385623.847041822, 385623.847041762, 385623.847041693, 385623.847041625, 385623.84704162, 385623.6, 385623, 3638131.75799917, 3638131.75799917, 3638131.8, 3638132.4, 3638133, 3638133.52416131, 3638133.5241613, 3638133.52416124, 3638133.52416121, 3638133, 3638132.4, 3638131.8, 3638131.75799907, 3638131.7579991, 3638131.75799917))"
203,85.13333333333334,89.5,80.30000000000001,86.5,"list(c(385630.2, 385630.197265632, 385630.197265699, 385630.197265767, 385630.197265836, 385630.197265858, 385630.2, 385630.8, 385631.170135435, 385631.170135413, 385631.170135345, 385631.170135277, 385631.170135212, 385630.8, 385630.2, 3638131.21928227, 3638131.21928227, 3638131.8, 3638132.4, 3638133, 3638133.19229863, 3638133.19229863, 3638133.19229857, 3638133.19229853, 3638133, 3638132.4, 3638131.8, 3638131.21928217, 3638131.21928221, 3638131.21928227))"
204,104.4375,110.2,99.9,103.2,"list(c(385637.498333656, 385637.498333725, 385637.498333794, 385637.498333829, 385638, 385638.53484908, 385638.534849045, 385638.534848976, 385638.534848908, 385638.534848893, 385638, 385637.498333641, 385637.498333656, 3638131.8, 3638132.4, 3638133, 3638133.31049698, 3638133.31049693, 3638133.31049687, 3638133, 3638132.4, 3638131.8, 3638131.67389344, 3638131.67389349, 3638131.67389355, 3638131.8))"
205,86.94666666666666,98,70.39999999999999,88.6,"list(c(385645.8, 385645.726809988, 385645.726809997, 385645.726810065, 385645.726810133, 385645.726810201, 385645.726810219, 385645.8, 385646.4, 385646.681495319, 385646.681495301, 385646.681495234, 385646.681495166, 385646.681495098, 385646.68149509, 385646.4, 385645.8, 3638131.7284461, 3638131.72844611, 3638131.8, 3638132.4, 3638133, 3638133.6, 3638133.75601591, 3638133.75601591, 3638133.75601584, 3638133.75601581, 3638133.6, 3638133, 3638132.4, 3638131.8, 3638131.728446, 3638131.72844603, 3638131.7284461
))"
206,99.12222222222222,105,92.7,99.7,"list(c(385652.156435112, 385652.15643517, 385652.156435238, 385652.156435304, 385652.4, 385653, 385653.144104611, 385653.144104546, 385653.144104478, 385653.144104421, 385653, 385652.4, 385652.156435112, 3638130.69620456, 3638131.2, 3638131.8, 3638132.3752428, 3638132.37524277, 3638132.3752427, 3638132.37524269, 3638131.8, 3638131.2, 3638130.69620445, 3638130.69620447, 3638130.69620453, 3638130.69620456))"
207,68.625,73.7,59.8,68.45000000000002,"list(c(385659.6, 385659.521297878, 385659.52129793, 385659.521297998, 385659.521298066, 385659.521298067, 385659.6, 385660.2, 385660.401656266, 385660.401656265, 385660.401656197, 385660.401656129, 385660.401656077, 385660.2, 385659.6, 3638131.34190224, 3638131.34190225, 3638131.8, 3638132.4, 3638133, 3638133.00829496, 3638133.00829495, 3638133.00829489, 3638133.00829487, 3638133, 3638132.4, 3638131.8, 3638131.34190216, 3638131.34190218, 3638131.34190224))"
